celltype,rank,gene,attribution,type
CD56+ NK,14,LYL1,-0.00017153588,bottom
CD56+ NK,15,HLA-DQA1,-0.00016992095,bottom
CD8+ Cytotoxic T,1,NKG7,0.0009313789,top
CD8+ Cytotoxic T,2,GNLY,0.00080270576,top
CD8+ Cytotoxic T,3,CD8B,0.0007189653,top
CD8+ Cytotoxic T,4,GZMK,0.00060722005,top
CD8+ Cytotoxic T,5,CCL5,0.00058659056,top
CD8+ Cytotoxic T,6,CD8A,0.0005442031,top
CD8+ Cytotoxic T,7,CST7,0.00045372298,top
CD8+ Cytotoxic T,8,ZNF683,0.00043318493,top
CD8+ Cytotoxic T,9,GZMA,0.00042296314,top
CD8+ Cytotoxic T,10,GZMB,0.00040199005,top
CD8+ Cytotoxic T,11,IL32,0.0003991279,top
CD8+ Cytotoxic T,12,GZMH,0.00038693714,top
CD8+ Cytotoxic T,13,CD7,0.00035023942,top
CD8+ Cytotoxic T,14,CTSW,0.00033684325,top
CD8+ Cytotoxic T,15,S100B,0.00033675047,top
CD8+ Cytotoxic T,1,CD4,-0.00067975494,bottom
CD8+ Cytotoxic T,2,TNFRSF18,-0.0004262493,bottom
CD8+ Cytotoxic T,3,AKR1C3,-0.00037406775,bottom
CD8+ Cytotoxic T,4,HLA-DRA,-0.00034813516,bottom
CD8+ Cytotoxic T,5,S100A9,-0.0003313527,bottom
CD8+ Cytotoxic T,6,CST3,-0.00032872072,bottom
CD8+ Cytotoxic T,7,TBXAS1,-0.00028780714,bottom
CD8+ Cytotoxic T,8,TNFRSF1B,-0.00028295346,bottom
CD8+ Cytotoxic T,9,CCR10,-0.00028252302,bottom
CD8+ Cytotoxic T,10,IGLL5,-0.0002767118,bottom
CD8+ Cytotoxic T,11,S100A8,-0.00025621252,bottom
CD8+ Cytotoxic T,12,IFI27,-0.00025274925,bottom
CD8+ Cytotoxic T,13,CPVL,-0.00024130412,bottom
CD8+ Cytotoxic T,14,RNASE6,-0.00024071721,bottom
CD8+ Cytotoxic T,15,RNF175,-0.00023104605,bottom
CD8+/CD45RA+ Naive Cytotoxic,1,CD8B,0.00069452135,top
CD8+/CD45RA+ Naive Cytotoxic,2,CD7,0.0005185235,top
CD8+/CD45RA+ Naive Cytotoxic,3,CD8A,0.00047239702,top
CD8+/CD45RA+ Naive Cytotoxic,4,S100B,0.0004329733,top
CD8+/CD45RA+ Naive Cytotoxic,5,IL32,0.00033132115,top
CD8+/CD45RA+ Naive Cytotoxic,6,S100A8,0.00031060827,top
CD8+/CD45RA+ Naive Cytotoxic,7,AIF1,0.00024673433,top
CD8+/CD45RA+ Naive Cytotoxic,8,GZMM,0.00024611893,top
CD8+/CD45RA+ Naive Cytotoxic,9,STMN1,0.000229457,top
CD8+/CD45RA+ Naive Cytotoxic,10,GRAP2,0.00022915928,top
CD8+/CD45RA+ Naive Cytotoxic,11,TKTL1,0.00022097726,top
CD8+/CD45RA+ Naive Cytotoxic,12,SERPINF1,0.00019795875,top
CD8+/CD45RA+ Naive Cytotoxic,13,FCER1G,0.00019537422,top
CD8+/CD45RA+ Naive Cytotoxic,14,CD79A,0.00018635023,top
CD8+/CD45RA+ Naive Cytotoxic,15,CTSW,0.00018584864,top
CD8+/CD45RA+ Naive Cytotoxic,1,CD4,-0.00082068454,bottom
CD8+/CD45RA+ Naive Cytotoxic,2,LYZ,-0.0007526177,bottom
CD8+/CD45RA+ Naive Cytotoxic,3,GNLY,-0.000613235,bottom
