class,rank,type,gene_index,score,gene_name
CD4+/CD45RA+/CD25- Naive T,9,top,1530,0.1258320212364196,BTF3
CD4+/CD45RA+/CD25- Naive T,10,top,6592,0.1250196546316146,IER2
CD4+/CD45RA+/CD25- Naive T,11,top,2302,0.1145106106996536,CD27
CD4+/CD45RA+/CD25- Naive T,12,top,10018,0.1120194643735885,PABPC1
CD4+/CD45RA+/CD25- Naive T,13,top,5163,0.1109225898981094,FLT3LG
CD4+/CD45RA+/CD25- Naive T,14,top,7644,0.1075871139764785,LDHB
CD4+/CD45RA+/CD25- Naive T,15,top,5601,0.106820099055767,GIMAP7
CD4+/CD45RA+/CD25- Naive T,1,bottom,12253,-0.1878654658794403,RPS25
CD4+/CD45RA+/CD25- Naive T,2,bottom,12195,-0.1732364743947982,RPL30
CD4+/CD45RA+/CD25- Naive T,3,bottom,12213,-0.1512621641159057,RPL5
CD4+/CD45RA+/CD25- Naive T,4,bottom,4250,-0.1464047133922577,EEF1D
CD4+/CD45RA+/CD25- Naive T,5,bottom,12242,-0.1452371180057525,RPS15A
CD4+/CD45RA+/CD25- Naive T,6,bottom,12217,-0.1441068649291992,RPL7
CD4+/CD45RA+/CD25- Naive T,7,bottom,12177,-0.1413343101739883,RPL14
CD4+/CD45RA+/CD25- Naive T,8,bottom,12170,-0.1366941183805465,RPL10A
CD4+/CD45RA+/CD25- Naive T,9,bottom,12187,-0.1232488900423049,RPL23A
CD4+/CD45RA+/CD25- Naive T,10,bottom,12394,-0.1210903152823448,S100A4
CD4+/CD45RA+/CD25- Naive T,11,bottom,12182,-0.1158652156591415,RPL18
CD4+/CD45RA+/CD25- Naive T,12,bottom,12222,-0.1119166016578674,RPLP2
CD4+/CD45RA+/CD25- Naive T,13,bottom,12212,-0.1111197993159294,RPL4
CD4+/CD45RA+/CD25- Naive T,14,bottom,12240,-0.1103674471378326,RPS13
CD4+/CD45RA+/CD25- Naive T,15,bottom,12203,-0.1099854856729507,RPL36
CD4+ T Helper2,1,top,9358,0.135228544473648,NKG7
CD4+ T Helper2,2,top,7404,0.1115362346172332,KLRB1
CD4+ T Helper2,3,top,5745,0.1115172728896141,GNLY
CD4+ T Helper2,4,top,6295,0.0756006613373756,HLA-DRB1
CD4+ T Helper2,5,top,7678,0.0687349066138267,LGALS1
CD4+ T Helper2,6,top,6090,0.0683826133608818,GZMA
CD4+ T Helper2,7,top,8005,0.0658939480781555,LYAR
CD4+ T Helper2,8,top,4078,0.0628375709056854,DRAP1
CD4+ T Helper2,9,top,14173,0.0592056661844253,TAGLN2
CD4+ T Helper2,10,top,15464,0.0570123046636581,TYROBP
CD4+ T Helper2,11,top,12399,0.0567427761852741,S100A8
CD4+ T Helper2,12,top,6091,0.055011224001646,GZMB
CD4+ T Helper2,13,top,12614,0.0540446601808071,SEC61B
CD4+ T Helper2,14,top,4347,0.0521165430545806,EIF4A1
CD4+ T Helper2,15,top,6288,0.0457987897098064,HLA-DPA1
CD4+ T Helper2,1,bottom,6769,-0.096183605492115,IL32
CD4+ T Helper2,2,bottom,2297,-0.064751386642456,CD247
CD4+ T Helper2,3,bottom,2344,-0.0642476752400398,CD7
CD4+ T Helper2,4,bottom,6592,-0.0631956830620765,IER2
CD4+ T Helper2,5,bottom,2321,-0.0550933517515659,CD3G
CD4+ T Helper2,6,bottom,12191,-0.0514790900051593,RPL27A
CD4+ T Helper2,7,bottom,12239,-0.0508401244878768,RPS12
CD4+ T Helper2,8,bottom,5308,-0.0475263744592666,FTH1
CD4+ T Helper2,9,bottom,12178,-0.0473843179643154,RPL15
CD4+ T Helper2,10,bottom,12187,-0.0472070761024951,RPL23A
CD4+ T Helper2,11,bottom,12205,-0.0461984574794769,RPL37
CD4+ T Helper2,12,bottom,14921,-0.0396690219640731,TNFRSF1B
CD4+ T Helper2,13,bottom,5601,-0.0387039631605148,GIMAP7
CD4+ T Helper2,14,bottom,6262,-0.0382456518709659,HINT1
CD4+ T Helper2,15,bottom,9466,-0.0333252623677253,NOSIP
